"Reference","Value","Footprint","Qty","Mfg Part#"
"C1,C4,C5,C6,C7,C8","100nF","Capacitor_SMD:C_0805_2012Metric","6","GCJ21BR72A104KA01L"
"C2,C3","1uF","Capacitor_SMD:C_0805_2012Metric","2","GRM21BR71A105KA01L"
"C9,C10","20pF","Capacitor_SMD:C_0805_2012Metric","2","GQM2195C2E200JB12D"
"C11,C12","4.3pF","Capacitor_SMD:C_0805_2012Metric","2","GQM2195C2E4R3BB12D"
"D1","GREEN","LED_SMD:LED_0805_2012Metric","1","150080VS75000"
"D2","RED","LED_SMD:LED_0805_2012Metric","1","150080RS75000"
"J1","1.27, 2x5, Male, TH","Connector_PinHeader_1.27mm:PinHeader_2x05_P1.27mm_Vertical","1","HPH2-A-10-UA"
"J3","Conn_01x03","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1","PH1-03-UA"
"J5,J7","Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","2","PH1-02-UA"
"J6","USB4105-GF-A-060","SparkFun-Connector:USB-C_16","1","USB4105-GF-A-060"
"R6,R12,R13","10K","Resistor_SMD:R_0805_2012Metric","3","ERJ-6GEYJ103V"
"R8","510","Resistor_SMD:R_0805_2012Metric","1","ERJ-6GEYJ511V"
"R9","330","Resistor_SMD:R_0805_2012Metric","1","ERJ-6GEYJ331V"
"R10,R11","100","Resistor_SMD:R_0805_2012Metric","2","ERJ-6GEYJ101V"
"SW1,SW2","SMD_4.6x2.8mm_h1.9mm","SparkFun-Switch:Push_SMD_4.6x2.8mm_h1.9mm","2","KMR441G LFS"
"U1","STM32F030C8Tx","Package_QFP:LQFP-48_7x7mm_P0.5mm","1","STM32F030C8T6"
"U2","GD25Q16CSJGR","Package_SO:SOP-8_3.9x4.9mm_P1.27mm","1","GD25Q16ETIGR"
"U3","TMP1075DGK","Package_SO:VSSOP-8_3x3mm_P0.65mm","1"," TMP1075DGKR"
"U6","MIC5504-3.3YM5","Package_TO_SOT_SMD:SOT-23-5","1","MIC5504-3.3YM5-TR"
"Y1","8.0MHz H130A-8.000-18-2030-EXT-TR","Crystal:Crystal_SMD_5032-2Pin_5.0x3.2mm","1","ABM3-8.000MHZ-J4Q-T"
"Y2","32.768 KHz CC7V-T1A","Crystal:Crystal_SMD_MicroCrystal_CC7V-T1A-2Pin_3.2x1.5mm","1","CC7V-T1A-32.768KHZ-12.5PF-20PPM-TA-QC"
